# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	14636
#@/user_id	ab1a0a9a-848f-4c46-9606-7e4acefc5a43
a 	啊	c=113 d=3.14348 t=14600
yao bu 	要不	c=3 d=1 t=11772
yao bu yao 	要不要	c=1 d=0.469723 t=14292
yao bu yao xie 	要不要寫	c=1 d=1 t=14293
yao fang 	藥房	c=1 d=1 t=10946
yao fen cheng 	要分成	c=1 d=1 t=6147
yao guai 	妖怪	c=2 d=1.91393 t=4141
yao kong 	遙控	c=1 d=1 t=9721
yao ni 	要你	c=0 d=0.1 t=10659
yao ni ma 	要你嗎	c=1 d=1 t=10660
yao qiu 	要求	c=4 d=1 t=14566
yao qu 	要去	c=0 d=0.1 t=10426
yao qu chao shi 	要去超市	c=1 d=1 t=10427
yao shi 	要是	c=4 d=1.00741 t=10280
yao shi 	鑰匙	c=1 d=1 t=12727
yao shi yong 	要使用	c=1 d=1 t=6082
ye 	也	c=45 d=1.00436 t=14356
ye 	曄	c=0 d=0.1 t=10899
ye 	爺	c=4 d=1.75466 t=10672
ye 	頁	c=11 d=2.9978 t=13536
ye bu xing 	也不行	c=1 d=1 t=3173
ye bu zhi dao 	也不知道	c=4 d=1.00002 t=9162
ye gai 	也該	c=1 d=1 t=517
ye hou 	葉猴	c=1 d=1 t=14354
ye jiu shi 	也就是	c=1 d=1 t=7012
ye ke neng shi 	也可能是	c=1 d=1 t=2520
ye ke yi 	也可以	c=2 d=1 t=12999
ye mei 	頁眉	c=2 d=1.15635 t=7628
ye shi 	也是	c=3 d=1 t=11080
ye wu 	業務	c=2 d=0.233371 t=12783
ye wu lei xing 	業務類型	c=1 d=1 t=12784
ye xing 	也行	c=4 d=1 t=13058
ye yao 	也要	c=1 d=1 t=1078
ye yi yang 	也一樣	c=1 d=1 t=6964
ye you 	也有	c=2 d=1 t=12816
yi 	一	c=18 d=1.87848 t=13175
yi 	以	c=1 d=1 t=6052
yi 	衣	c=1 d=1 t=12145
yi ban 	一般	c=1 d=1 t=6639
yi ban wei 	一般爲	c=1 d=1 t=2133
yi bei jiu 	一杯酒	c=1 d=1 t=4330
yi bian 	一遍	c=1 d=1 t=7642
yi bian 	一邊	c=1 d=1.09851 t=1568
yi bo 	一波	c=0 d=0.1 t=5278
yi bu fen 	一部分	c=1 d=1 t=9362
yi chu 	溢出	c=1 d=1 t=1784
yi ci 	一次	c=6 d=1 t=13216
yi dao 	一道	c=2 d=1 t=14361
yi dao qie 	一刀切	c=1 d=1 t=5292
yi dong 	移動	c=17 d=1 t=14184
yi dong duan 	移動端	c=2 d=1.98511 t=7347
yi dong le 	移動了	c=1 d=1 t=9753
yi dong yao 	伊東遙	c=1 d=1 t=10481
yi duan shi jian 	一段時間	c=1 d=1.00131 t=3510
yi duan shi jian hou 	一段時間後	c=1 d=1 t=2644
yi dui 	一隊	c=1 d=1 t=1963
yi dui duo 	一對多	c=1 d=1 t=6124
yi dun 	一頓	c=0 d=0.1 t=6866
yi er 	一二	c=1 d=1 t=9109
yi fen 	一份	c=1 d=1 t=61
yi ge 	一個	c=18 d=1.3851 t=11110
yi ge ci 	一個詞	c=0 d=0.1 t=7803
yi ge ren 	一個人	c=2 d=1 t=11482
yi ge yue 	一個月	c=2 d=1 t=13336
yi gen 	一根	c=0 d=0.1 t=3021
yi gen xian 	一根線	c=1 d=1 t=3022
yi gong 	一共	c=1 d=1 t=9478
yi hang 	一行	c=1 d=1 t=7825
yi hou 	以後	c=4 d=1.93239 t=14369
yi hui 	一會	c=3 d=1 t=13345
yi ji 	一級	c=3 d=1.99501 t=7770
yi ji 	以及	c=6 d=2.56506 t=10801
yi jian 	意見	c=9 d=2.90566 t=13937
yi jing 	已經	c=19 d=1.00948 t=12231
yi jing shi 	已經是	c=1 d=1 t=1226
yi ju 	依據	c=1 d=1 t=8397
yi ju hua 	一句話	c=1 d=1 t=6713
yi kan 	一看	c=1 d=1 t=11384
yi kou 	一口	c=2 d=1.24293 t=11527
yi kuan 	一款	c=1 d=1 t=8862
yi lang 	一郎	c=2 d=1.9802 t=2597
yi leng 	一愣	c=0 d=0.1 t=4821
yi leng yi leng 	一愣一愣	c=1 d=1 t=4822
yi lian 	一臉	c=1 d=1 t=3514
yi men 	一門	c=1 d=1 t=1841
yi nian 	一年	c=4 d=1.00038 t=10991
yi qi 	一起	c=2 d=1.00292 t=7139
yi qi jia you 	一起加油	c=1 d=1 t=6433
yi qi wan 	一起玩	c=1 d=1 t=3518
yi qian 	以前	c=1 d=1 t=798
yi qing 	疫情	c=2 d=1.08982 t=14337
yi sa 	以撒	c=1 d=1 t=4034
yi shang 	以上	c=3 d=1 t=13477
yi shuang 	一雙	c=0 d=0.1 t=1972
yi si 	意思	c=4 d=1 t=14053
yi si le 	意思了	c=1 d=1 t=8995
yi tao 	一套	c=0 d=0.1 t=11563
yi tian 	一天	c=1 d=1 t=5952
yi tiao 	一條	c=2 d=1 t=4706
yi tou 	一頭	c=1 d=1 t=11409
yi wai 	以外	c=2 d=1.00006 t=3987
yi wei 	以爲	c=4 d=1 t=13251
yi wu 	衣物	c=1 d=1 t=1872
yi xia 	一下	c=6 d=1.0739 t=13539
yi xia 	以下	c=17 d=0.100074 t=14583
yi xia ma 	一下嗎	c=4 d=0.241125 t=10277
yi xiang 	一項	c=1 d=1 t=7135
yi xiang 	意向	c=1 d=1 t=7319
yi xie 	一些	c=7 d=1.00359 t=9762
yi xin 	一心	c=1 d=1 t=2094
yi yang 	一樣	c=4 d=1.00099 t=10823
yi yang ma 	一樣嗎	c=1 d=1 t=5050
yi ye 	一頁	c=1 d=1 t=11088
yi yi 	意義	c=5 d=1 t=12545
yi you 	已有	c=1 d=1 t=8119
yi yu 	易於	c=1 d=1 t=6466
yi yuan 	意願	c=2 d=1.00007 t=8111
yi yuan 	醫院	c=9 d=2.54689 t=10921
yi zhang 	一張	c=2 d=1.6942 t=13521
yi zhi 	一直	c=13 d=1 t=13329
yi zhi 	移植	c=2 d=1.46533 t=6620
yi zhi xing 	一致性	c=1 d=1 t=9812
yi zhi zai 	一直在	c=1 d=1 t=4852
yi zhong 	一種	c=1 d=1 t=10854
yi zhou 	一週	c=1 d=1 t=4879
yin 	印	c=1 d=1 t=5539
yin 	尹	c=5 d=1.31822 t=11917
yin cang 	隱藏	c=2 d=1.69768 t=12930
yin ci 	因此	c=2 d=1 t=12537
yin dang 	淫蕩	c=3 d=2.96546 t=9711
yin gong zuo 	因工作	c=0 d=0.1 t=14629
yin gong zuo yuan yin 	因工作原因	c=1 d=1 t=14630
yin hang 	銀行	c=4 d=2.35122 t=13517
yin hang ka 	銀行卡	c=3 d=1.41313 t=13806
yin mou lun 	陰謀論	c=1 d=1 t=1096
yin qi de 	引起的	c=1 d=1 t=8078
yin tian 	陰天	c=1 d=1 t=14531
yin wei 	因爲	c=6 d=1.00079 t=14094
yin xian 	陰險	c=1 d=1 t=10186
yin xiang 	印象	c=1 d=1 t=10187
yin xiao 	音效	c=1 d=1 t=5507
yin yong 	引用	c=11 d=1.72037 t=8335
yin yue 	音樂	c=3 d=1.00411 t=5606
yin zhi 	音質	c=1 d=1 t=5838
ying 	影	c=1 d=1 t=4867
ying 	應	c=3 d=1.99501 t=14565
ying 	映	c=1 d=1 t=7578
ying cai 	英才	c=0 d=0.1 t=9099
ying gai 	應該	c=13 d=1.00025 t=12890
ying gai bu neng 	應該不能	c=1 d=1 t=2506
ying gai jia 	應該加	c=1 d=1 t=2711
ying gai mei cuo 	應該沒錯	c=1 d=1 t=7797
ying gai ru he 	應該如何	c=1 d=1 t=14130
ying gai shi 	應該是	c=2 d=1 t=3294
ying gai shi shen me 	應該是什麼	c=1 d=1 t=1735
ying gai you 	應該有	c=1 d=1 t=11228
ying gai you shen me 	應該有什麼	c=1 d=1 t=1089
ying jian 	硬件	c=1 d=1 t=9021
ying jie 	應屆	c=3 d=1.65793 t=8089
ying jie sheng 	應屆生	c=4 d=2.01693 t=6836
ying pan 	硬盤	c=1 d=1 t=2025
ying she 	映射	c=2 d=1.00006 t=11349
ying wen 	英文	c=16 d=3.60462 t=14105
ying xiang 	影響	c=4 d=1 t=13856
ying xiao 	營銷	c=3 d=1.19661 t=10487
ying xiong 	英雄	c=1 d=1 t=13275
ying ye 	營業	c=1 d=1 t=10483
ying yong 	應用	c=4 d=1.0005 t=10458
ying yu 	英語	c=5 d=1 t=9544
yong 	用	c=30 d=2.26361 t=12588
yong bu liao 	用不了	c=1 d=1 t=5501
yong bu wan 	用不完	c=1 d=1 t=3245
yong de 	用的	c=3 d=1 t=10450
yong fa 	用法	c=1 d=1 t=2538
yong hu 	用戶	c=19 d=1.67168 t=12713
yong lai 	用來	c=3 d=1 t=6106
yong li 	用例	c=2 d=1.83946 t=8465
yong li tu 	用例圖	c=3 d=1.00028 t=7817
yong qi 	勇氣	c=3 d=0.632855 t=5314
yong qi tai dao 	勇氣太刀	c=1 d=1 t=5315
yong shang le 	用上了	c=1 d=1 t=4988
yong wo 	用我	c=1 d=1 t=3237
yong yi 	用以	c=1 d=1 t=309
yong you 	擁有	c=1 d=1 t=14070
yong yu 	用於	c=2 d=1 t=13470
yong yuan 	永遠	c=1 d=1 t=826
you 	優	c=1 d=1 t=12911
you 	又	c=7 d=1.00821 t=13256
you 	右	c=1 d=1 t=12340
you 	有	c=61 d=1.61537 t=14544
you 	油	c=6 d=1.99501 t=11293
you 	郵	c=2 d=1 t=13313
you bu shi 	又不是	c=1 d=1 t=4550
you cai dan 	有菜單	c=1 d=1 t=9103
you ce 	右側	c=7 d=4.54816 t=1288
you dan mu 	有彈幕	c=1 d=1 t=587
you dao 	郵到	c=2 d=1.8825 t=14163
you dao ji 	誘導劑	c=1 d=1 t=10537
you de 	有的	c=0 d=0.1 t=14384
you dian 	優點	c=11 d=1 t=11969
you dian 	有點	c=3 d=1 t=11970
you ge 	有個	c=4 d=1.89076 t=9968
you ge ren 	有個人	c=1 d=1 t=2328
you guan 	有關	c=1 d=1 t=14177
you guan de 	有關的	c=1 d=1 t=6195
you ji 	郵寄	c=3 d=1.99788 t=11345
you ji hui 	有機會	c=0 d=0.1 t=6830
you jian 	郵件	c=4 d=1.76721 t=13489
you jian ba 	郵件吧	c=1 d=1 t=3086
you kong 	有空	c=1 d=1 t=13402
you lai le 	又來了	c=1 d=1 t=5325
you lan 	遊覽	c=1 d=0.67695 t=385
you lan qi 	遊覽器	c=4 d=1 t=13181
you mei you 	有沒有	c=3 d=1.00246 t=7392
you mei you ren 	有沒有人	c=1 d=1 t=9530
you min 	遊民	c=1 d=1 t=14034
you min xing kong 	遊民星空	c=2 d=1.03304 t=5665
you ni 	有你	c=1 d=0.1 t=9448
you qie 	又且	c=1 d=1 t=1224
you que dian 	優缺點	c=2 d=1.00001 t=7813
you ren 	有人	c=1 d=1 t=3405
you sha 	有啥	c=2 d=1.00002 t=12325
you sha wen ti 	有啥問題	c=1 d=1 t=6973
you shan 	友善	c=1 d=1 t=8194
you shei 	有誰	c=1 d=1 t=12027
you shen me 	有什麼	c=6 d=1.00001 t=13644
you shen me hao chu 	有什麼好處	c=1 d=1 t=6000
you shi 	優勢	c=3 d=1.00257 t=3476
you shi hou 	有時候	c=1 d=1 t=5233
you shi jian 	有時間	c=1 d=1 t=13800
you shi jian ma 	有時間嗎	c=1 d=1 t=7761
you shu 	有數	c=0 d=0.1 t=9235
you shu le 	有數了	c=1 d=1 t=9236
you wu 	有誤	c=1 d=1 t=4927
you xi 	遊戲	c=5 d=1 t=13737
you xi kai fa 	遊戲開發	c=1 d=1 t=9599
you xi tui jian 	遊戲推薦	c=4 d=2.52197 t=4332
you xi xia zai 	遊戲下載	c=2 d=1.6942 t=4096
you xian 	有限	c=5 d=0.105811 t=11276
you xian gong si 	有限公司	c=4 d=1 t=7896
you xiang 	郵箱	c=6 d=1 t=14475
you xiao 	有效	c=1 d=1 t=4428
you xie 	有些	c=3 d=1 t=13795
you xiu 	優秀	c=12 d=6.80704 t=13172
you xiu lun wen 	優秀論文	c=1 d=1 t=12971
you xu 	有序	c=4 d=1.67008 t=1601
you ye mei 	有頁眉	c=1 d=1 t=7629
you yi dian 	有一點	c=1 d=1 t=14106
you yi ge 	又一個	c=1 d=1 t=6660
you yi xiang 	有意向	c=1 d=1 t=7349
you you 	又有	c=1 d=1 t=14112
you yu 	由於	c=3 d=1 t=13853
you zheng bian ma 	郵政編碼	c=1 d=1 t=10885
yu 	宇	c=1 d=1 t=14004
yu 	於	c=3 d=1 t=11363
yu 	玉	c=2 d=1.06425 t=4527
yu 	與	c=119 d=4.73152 t=14521
yu 	語	c=5 d=1.9802 t=12973
yu 	魚	c=2 d=1 t=6762
yu ci tong shi 	與此同時	c=1 d=1 t=8197
yu dao 	遇到	c=2 d=1.00001 t=7718
yu e 	餘額	c=3 d=2.74464 t=2489
yu fa 	語法	c=1 d=1 t=9628
yu ji 	預計	c=1 d=1 t=10874
yu ji shu 	與技術	c=2 d=1 t=11806
yu jia 	瑜伽	c=1 d=1 t=12860
yu ju 	語句	c=1 d=1 t=5657
yu mao 	羽毛	c=2 d=1.98511 t=2730
yu ming 	域名	c=1 d=1 t=4850
yu qi 	與其	c=1 d=1 t=4921
yu ren 	與人	c=1 d=1 t=9323
yu shi xian 	與實現	c=1 d=1 t=2982
yu wang 	慾望	c=0 d=0.1 t=5803
yu xi 	玉璽	c=1 d=1 t=12188
yu yan 	語言	c=10 d=1 t=14278
yu yi 	雨衣	c=2 d=1.92774 t=14560
yu yin 	語音	c=2 d=1 t=13055
yu zhao 	預兆	c=1 d=1 t=5120
yuan 	元	c=7 d=1.93242 t=9957
yuan 	原	c=1 d=1 t=2695
yuan 	源	c=6 d=1 t=13921
yuan 	袁	c=2 d=1.3413 t=12314
yuan 	遠	c=1 d=1 t=5485
yuan cheng 	遠程	c=1 d=1 t=6004
yuan gong 	員工	c=5 d=2.37445 t=13744
yuan jian 	原件	c=4 d=3.53376 t=13511
yuan lai 	原來	c=4 d=1 t=10396
yuan li 	原理	c=2 d=1 t=9820
yuan liang 	原諒	c=1 d=1 t=5295
yuan ma 	源碼	c=2 d=1.00026 t=11258
yuan shao 	袁紹	c=1 d=1 t=12108
yuan sheng 	原聲	c=1 d=1 t=14008
yuan shi 	原始	c=2 d=1.99005 t=1154
yuan su 	元素	c=9 d=6.05619 t=1581
yuan su zhong 	元素中	c=1 d=1 t=1525
yuan yin 	原因	c=1 d=0.1 t=14629
yuan you 	原有	c=2 d=1.07172 t=8587
yuan ze 	原則	c=1 d=1.00005 t=8659
yue 	月	c=21 d=1.29733 t=13963
yue du 	閱讀	c=4 d=1.94176 t=14504
yue fen 	月份	c=1 d=0.584325 t=6829
yue fen le 	月份了	c=2 d=1.98511 t=6833
yue lai yue 	越來越	c=1 d=1 t=478
yue lai yue duo 	越來越多	c=1 d=1 t=453
yue lai yue hao 	越來越好	c=1 d=1 t=3740
yun 	雲	c=7 d=2.90323 t=10639
yun duan 	雲端	c=1 d=1 t=8875
yun suan 	運算	c=1 d=1 t=4860
yun wei 	運維	c=3 d=1.00927 t=9913
yun wei kai fa 	運維開發	c=2 d=1 t=13777
yun xing 	運行	c=1 d=1 t=3090
yun xing shi jian 	運行時間	c=1 d=1 t=1558
yun xu 	允許	c=2 d=1.9802 t=10640
za 	咋	c=2 d=1 t=8983
za ban 	咋辦	c=1 d=1 t=9987
zai 	仔	c=4 d=1.01325 t=13222
zai 	再	c=30 d=2.70895 t=14056
zai 	在	c=79 d=1.42718 t=14456
zai ben di 	在本地	c=1 d=1 t=661
zai ci 	再次	c=1 d=1 t=1521
zai jian 	再見	c=1 d=1 t=4158
zai ju 	載具	c=1 d=1 t=2068
zai na 	在哪	c=5 d=0.100324 t=14387
zai na ge 	在那個	c=1 d=1 t=10055
zai na li 	在哪裏	c=1 d=1 t=14290
zai ne 	在呢	c=1 d=1 t=8661
zai shang mian 	在上面	c=1 d=1 t=5256
zai shen me 	在什麼	c=1 d=1 t=2669
zai shuo 	再說	c=1 d=1 t=12751
zai wai 	在外	c=1 d=1 t=12793
zai xia 	在下	c=1 d=1 t=11428
zai xian 	在線	c=6 d=1 t=13759
zai xian chang 	在現場	c=1 d=1 t=3710
zai xiang 	在想	c=1 d=1 t=1121
zai xiao 	在校	c=0 d=0.1 t=5806
zai xiao jing li 	在校經歷	c=1 d=1 t=5807
zai ye 	再也	c=1 d=1 t=220
zai zhan 	再戰	c=1 d=1 t=7536
zai zhe 	在這	c=3 d=1 t=14625
zan 	咱	c=1 d=1 t=7736
zan men 	咱們	c=11 d=1.1081 t=14157
zan shi 	暫時	c=4 d=1 t=10542
zang hua 	髒話	c=1 d=1 t=2128
zao 	早	c=2 d=1.00017 t=11513
zao ge 	造個	c=1 d=1 t=8094
zao jiu 	早就	c=2 d=1 t=6412
zao ri 	早日	c=1 d=1 t=12964
zao shang 	早上	c=1 d=1 t=2562
ze 	則	c=4 d=1.07188 t=2141
zei 	賊	c=1 d=1 t=9371
zen me 	怎麼	c=28 d=1.0001 t=13923
zen me ban 	怎麼辦	c=4 d=1 t=13671
zen me chu 	怎麼出	c=1 d=1 t=4866
zen me du 	怎麼度	c=1 d=1 t=9573
zen me e 	怎麼額	c=1 d=1 t=12309
zen me hua 	怎麼畫	c=1 d=1 t=6099
zen me kan 	怎麼看	c=1 d=1 t=3943
zen me lai de 	怎麼來的	c=1 d=1 t=5074
zen me shuo 	怎麼說	c=2 d=1.00441 t=13012
zen me wan 	怎麼玩	c=1 d=1 t=1933
zen me xie 	怎麼寫	c=3 d=1.05585 t=10883
zen me yang 	怎麼樣	c=10 d=1.05445 t=11054
zen me yang le 	怎麼樣了	c=1 d=1 t=10060
zen me yong 	怎麼用	c=7 d=1.6618 t=5668
zen me zou 	怎麼走	c=1 d=1 t=2804
zen men 	怎們	c=1 d=1 t=11817
zen yang 	怎樣	c=1 d=1 t=1838
zeng jia 	增加	c=4 d=1.05971 t=9690
zeng shan 	增刪	c=1 d=0.547088 t=9148
zeng shan gai cha 	增刪改查	c=2 d=1.77492 t=9200
zha 	扎	c=1 d=1 t=12810
zha dui 	扎堆	c=1 d=1 t=2682
zha zha 	喳喳	c=1 d=1 t=2024
zhai tian lin 	翟天臨	c=1 d=1 t=5518
zhai yao 	摘要	c=4 d=1.00089 t=10532
zhan 	佔	c=4 d=1 t=13476
zhan 	戰	c=6 d=1.1108 t=7538
zhan 	斬	c=6 d=1 t=11361
zhan 	站	c=3 d=1 t=12223
zhan di 	戰地	c=1 d=1 t=2065
zhan lang 	戰狼	c=1 d=1 t=4235
zhan mu si 	詹姆斯	c=1 d=1 t=11430
zhan shi 	展示	c=1 d=1 t=8193
zhan shi 	戰士	c=4 d=1.15698 t=4203
zhan tie 	粘貼	c=1 d=1 t=11343
zhan tie dao 	粘貼到	c=1 d=1 t=7858
zhan wang 	展望	c=1 d=1 t=7164
zhan yong 	佔用	c=8 d=1 t=12491
zhan zhang 	站長	c=1 d=1 t=670
zhan zhe 	站着	c=0 d=0.1 t=2535
zhan zhe mao keng 	站着茅坑	c=1 d=1 t=2536
zhang 	丈	c=1 d=1 t=13683
zhang 	張	c=4 d=1 t=11284
zhang da 	長大	c=1 d=1 t=12220
zhang fei 	張飛	c=2 d=1.80654 t=11444
zhang hao 	帳號	c=10 d=1.01569 t=9215
zhang hao mi ma 	帳號密碼	c=2 d=1.2739 t=482
zhang hu 	賬戶	c=5 d=1.04261 t=13515
zhang lang 	蟑螂	c=0 d=0.1 t=1949
zhang lang che 	蟑螂車	c=1 d=1 t=1950
zhang shang 	掌上	c=1 d=1 t=13444
zhang wo 	掌握	c=4 d=1.03081 t=6937
zhang xiao 	張曉	c=0 d=0.1 t=10899
zhang xiao ye 	張曉曄	c=1 d=1 t=10900
zhang yong 	張勇	c=1 d=1 t=496
zhao 	找	c=5 d=0.237988 t=8978
zhao 	招	c=7 d=0.103183 t=13454
zhao 	照	c=2 d=1 t=13752
zhao 	趙	c=1 d=1 t=1629
zhao bu dao 	找不到	c=11 d=0.890642 t=8978
zhao chu 	找出	c=0 d=0.1 t=1561
zhao chu lai 	找出來	c=2 d=1 t=12436
zhao dao 	找到	c=10 d=1 t=14439
zhao dao zhe ge 	找到這個	c=1 d=1 t=10074
zhao dou zhao bu dao 	找都找不到	c=1 d=1 t=8979
zhao ge 	找個	c=1 d=1 t=3310
zhao gong zuo 	找工作	c=3 d=1.00085 t=7479
zhao hao 	找好	c=1 d=1 t=7467
zhao mu 	招募	c=2 d=1.79057 t=3546
zhao pian 	照片	c=7 d=1.66237 t=13742
zhao pin 	招聘	c=10 d=1 t=12299
zhao ren 	招人	c=1 d=1 t=12306
zhao shang 	招商	c=3 d=2.13723 t=13516
zhao yao 	照耀	c=1 d=1 t=9126
zhao yi ge 	找一個	c=1 d=1 t=6306
zhao yun 	趙雲	c=1 d=1 t=11511
zhao zhao 	找找	c=3 d=1 t=9906
zhe 	着	c=5 d=1.05156 t=9334
zhe 	者	c=2 d=1.75957 t=6874
zhe 	這	c=64 d=2.62323 t=14557
zhe ba 	着吧	c=1 d=1 t=13305
zhe bian 	這邊	c=3 d=1.00035 t=14599
zhe bu 	這部	c=2 d=1 t=11492
zhe bu shi 	這不是	c=1 d=0.100005 t=14551
zhe bu shi yao fang jia le ma 	這不是要房價了嗎	c=1 d=1 t=14552
zhe cai shi 	這纔是	c=1 d=1 t=10109
zhe ci 	這次	c=1 d=1 t=3540
zhe dian 	這點	c=1 d=1 t=748
zhe dong xi 	這東西	c=6 d=1.00013 t=14167
zhe ge 	這個	c=56 d=3.86295 t=14378
zhe ge shi 	這個是	c=1 d=1 t=3360
zhe ge wen ti 	這個問題	c=0 d=0.1 t=12293
zhe jiu 	這就	c=0 d=0.1 t=5515
zhe jiu de 	這就得	c=1 d=1 t=5516
zhe jiu qu 	這就去	c=1 d=1 t=11032
zhe jiu shi 	這就是	c=1 d=1 t=11131
zhe ju 	這句	c=1 d=1 t=11372
zhe lei 	這類	c=1 d=1 t=5463
zhe li 	這裏	c=2 d=1.02497 t=11816
zhe liang tian 	這兩天	c=1 d=1 t=5274
zhe me 	這麼	c=5 d=0.100023 t=11918
zhe me duo 	這麼多	c=1 d=1 t=9062
zhe me fan 	這麼飯	c=1 d=1 t=1321
zhe me jian dan 	這麼簡單	c=0 d=0.1 t=6716
zhe me shuo 	這麼說	c=1 d=1 t=12285
zhe me shuo de 	這麼說的	c=1 d=1 t=11919
zhe ren 	這人	c=1 d=1 t=9373
zhe shi 	這是	c=13 d=1.03973 t=13260
zhe shi hou 	這時候	c=1 d=1 t=11378
zhe shi ni 	這是你	c=1 d=1 t=5035
zhe shou ge 	這首歌	c=2 d=1.99501 t=1319
zhe ta ma 	這他媽	c=1 d=1 t=11395
zhe teng 	折騰	c=4 d=0.1 t=14357
zhe teng bian pao 	折騰鞭炮	c=1 d=1 t=14358
zhe wan yi 	這玩意	c=2 d=1 t=13981
zhe xiao hai 	這小孩	c=1 d=1 t=12255
zhe xie 	這些	c=4 d=1 t=12591
zhe xie hua 	這些話	c=1 d=1 t=1774
zhe yang 	這樣	c=12 d=0.10001 t=14106
zhe yang zhao 	這樣招	c=1 d=1 t=7486
zhe ye 	這也	c=1 d=1 t=2637
zhe yi 	這一	c=2 d=1.88692 t=7316
zhe yi ge 	這一個	c=0 d=0.1 t=6193
zhe you 	這又	c=1 d=1 t=819
zhe zhong 	這種	c=3 d=1 t=4604
zhe zhong fang fa 	這種方法	c=1 d=1 t=1542
zhe zhong qing kuang 	這種情況	c=0 d=0.1 t=14248
zhe zhong qing kuang de ma 	這種情況的嗎	c=1 d=1 t=14249
zhe zhou 	這周	c=1 d=1 t=10146
zhe zu 	這組	c=1 d=1 t=9006
zhen 	幀	c=3 d=1.97539 t=6609
zhen 	真	c=5 d=1 t=14407
zhen 	鎮	c=4 d=1 t=13390
zhen bu cuo 	真不錯	c=1 d=1 t=6410
zhen de 	真的	c=7 d=1 t=14114
zhen de ka 	真的卡	c=1 d=1 t=2519
zhen de ma 	真的嗎	c=1 d=1 t=3732
zhen hui 	真會	c=0 d=0.1 t=2309
zhen hui wan 	真會玩	c=2 d=1.22313 t=2610
zhen liao 	診療	c=1 d=1 t=10944
zhen shi 	真實	c=2 d=1 t=11370
zhen zheng 	真正	c=1 d=1 t=264
zheng 	整	c=6 d=1.21348 t=13485
zheng 	正	c=1 d=1 t=14536
zheng 	證	c=2 d=1.37104 t=10834
zheng chang 	正常	c=2 d=0.1 t=14533
zheng chu 	整齣	c=0 d=0.1 t=1485
zheng chu lai le 	整齣來了	c=1 d=1 t=1486
zheng dang 	正當	c=1 d=1 t=12206
zheng ge 	整個	c=3 d=1 t=10820
zheng hao 	正好	c=3 d=1 t=9567
zheng jian 	證件	c=3 d=1.70205 t=13751
zheng jian zhao 	證件招	c=2 d=1.23931 t=13741
zheng li 	整理	c=2 d=1 t=10913
zheng shang 	整上	c=1 d=1 t=2318
zheng shi 	正式	c=1 d=1 t=13486
zheng shu 	證書	c=2 d=1 t=13510
zheng ti 	整體	c=5 d=1.00001 t=10802
zheng yi 	爭議	c=0 d=0.1 t=8370
zheng yi ti 	爭議題	c=1 d=1 t=8371
zheng zai 	正在	c=2 d=1.00482 t=8670
zheng ze biao da shi 	正則表達式	c=3 d=2.96531 t=5670
zheng zhi 	政治	c=1 d=1 t=4046
zhi 	之	c=14 d=1.98511 t=14327
zhi 	值	c=27 d=6.78715 t=7083
zhi 	只	c=6 d=1 t=14470
zhi 	志	c=1 d=1 t=6162
zhi 	指	c=3 d=1 t=10150
zhi 	智	c=1 d=1 t=14005
zhi 	直	c=1 d=1 t=6144
zhi 	紙	c=2 d=1 t=13974
zhi 	至	c=2 d=1 t=12615
zhi ao 	執拗	c=0 d=0.1 t=3824
zhi bo 	直播	c=3 d=1.01368 t=3408
zhi bu zhi chi 	支不支持	c=1 d=1 t=6701
zhi cheng 	職稱	c=3 d=1.00002 t=14203
zhi chi 	支持	c=15 d=1.00001 t=4997
zhi chu 	之處	c=2 d=1.89583 t=13797
zhi dao 	指導	c=8 d=1.20554 t=13225
zhi dao 	直到	c=4 d=1.03322 t=3827
zhi dao 	知道	c=2 d=0.111649 t=8502
zhi dao lao shi 	指導老師	c=1 d=1 t=8716
zhi dao le 	知道了	c=1 d=1 t=11398
zhi dao ma 	知道嗎	c=1 d=1 t=13719
zhi de 	值得	c=2 d=1 t=9605
zhi di 	之地	c=3 d=1.00184 t=4668
zhi hou 	之後	c=4 d=1 t=12659
zhi hui 	智慧	c=1 d=1 t=10161
zhi jia 	指甲	c=1 d=1 t=11505
zhi jian 	之間	c=2 d=1.001 t=9065
zhi jie 	直接	c=24 d=1.00826 t=14066
zhi jie cong 	直接從	c=1 d=1 t=2452
zhi jie fa gei wo 	直接發給我	c=1 d=1 t=7693
zhi jie qu 	直接去	c=2 d=1 t=13046
zhi jie shuo 	直接說	c=2 d=1 t=8591
zhi jie xue 	直接學	c=1 d=1 t=7839
zhi kan dao 	只看到	c=1 d=1 t=12771
zhi lang 	之狼	c=6 d=5.65924 t=2615
zhi lei 	之類	c=4 d=1 t=14306
zhi lei de 	之類的	c=3 d=1 t=10681
zhi liang 	質量	c=1 d=1 t=6936
zhi lu 	之路	c=1 d=1 t=10976
zhi ma guan 	芝麻官	c=0 d=0.1 t=5115
zhi ming 	知名	c=1 d=1 t=351
zhi ming 	致命	c=1 d=1 t=3679
zhi neng 	只能	c=7 d=1.00001 t=12190
zhi qian 	之前	c=12 d=1.07166 t=13188
zhi qian shuo shi 	之前說是	c=1 d=1 t=10856
zhi sen 	紙森	c=1 d=1 t=4148
zhi shang 	智商	c=2 d=1 t=6931
zhi shi 	只是	c=1 d=1 t=12586
zhi shi 	知識	c=2 d=1.99005 t=1376
